datetime,wtr0.25,wtr1,wtr2,wtr2.5,wtr3,wtr4,wtr5,wtr6,wtr6.5
2023-10-03T02:20:00Z,NA,NA,NA,5.582,NA,NA,NA,NA,5.642
2023-10-03T02:30:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.642
2023-10-03T02:40:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.651
2023-10-03T02:50:00Z,NA,NA,NA,5.563,NA,NA,NA,NA,5.592
2023-10-03T03:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.573
2023-10-03T03:10:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.553
2023-10-03T03:20:00Z,NA,NA,NA,5.523,NA,NA,NA,NA,5.573
2023-10-03T03:30:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.563
2023-10-03T03:40:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.553
2023-10-03T03:50:00Z,NA,NA,NA,5.503,NA,NA,NA,NA,5.543
2023-10-03T04:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.533
2023-10-03T04:10:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.533
2023-10-03T04:20:00Z,NA,NA,NA,5.494,NA,NA,NA,NA,5.553
2023-10-03T04:30:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.513
2023-10-03T04:40:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.523
2023-10-03T04:50:00Z,NA,NA,NA,5.434,NA,NA,NA,NA,5.543
2023-10-03T05:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.503
2023-10-03T05:10:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.503
2023-10-03T05:20:00Z,NA,NA,NA,5.404,NA,NA,NA,NA,5.464
2023-10-03T05:30:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.484
2023-10-03T05:40:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.454
2023-10-03T05:50:00Z,NA,NA,NA,5.365,NA,NA,NA,NA,5.434
2023-10-03T06:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.424
2023-10-03T06:10:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.444
2023-10-03T06:20:00Z,NA,NA,NA,5.355,NA,NA,NA,NA,5.414
2023-10-03T06:30:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.404
2023-10-03T06:40:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.375
2023-10-03T06:50:00Z,NA,NA,NA,5.335,NA,NA,NA,NA,5.385
2023-10-03T07:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.385
2023-10-03T07:10:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.335
